[A_标识与溯源] 文献唯一标识,[A_标识与溯源] PMID,[A_标识与溯源] DOI,[B_题录信息] 中文标题,[B_题录信息] 英文标题,[B_题录信息] 发布年份,[B_题录信息] 发布日期,[B_题录信息] 期刊或发布机构,[B_题录信息] 第一作者,[B_题录信息] 通讯作者,[B_题录信息] 作者单位,[B_题录信息] 国家/地区,[C_中国属性] 是否中国研究,[C_中国属性] 是否中国患者,[C_中国属性] 是否中国多中心研究,[B_题录信息] 文献类型,[D_方法与证据] 证据等级,[D_方法与证据] 研究设计,[D_方法与证据] 研究阶段,[D_方法与证据] 样本量,[D_方法与证据] 研究人群,[E_人群特征] 初治/经治,[E_人群特征] HBeAg状态,[E_人群特征] 是否肝硬化,[F_治疗方案] 治疗方案,[F_治疗方案] 对照方案,[F_治疗方案] 治疗时间,[F_治疗方案] 随访时间,[G_基线指标] 基线HBsAg,[G_基线指标] 基线HBV DNA,[H_疗效与结局] HBsAg下降速度或变化幅度,[H_疗效与结局] HBV DNA下降速度或变化幅度,[H_疗效与结局] 主要终点,[H_疗效与结局] HBsAg清除率,[H_疗效与结局] HBeAg血清学转换率,[H_疗效与结局] 病毒学应答率,[H_疗效与结局] 生化学应答率,[H_疗效与结局] 肝癌发生或复发结局,[H_疗效与结局] 安全性,[I_价值与定位] 核心结论,[I_价值与定位] 临床价值,[I_价值与定位] 对中国实践的启示,[I_价值与定位] 对2030行动的意义,[I_价值与定位] 对全国肝病联盟的意义,[I_价值与定位] 所属筛诊治管康环节,[I_价值与定位] 所属一级专题,[I_价值与定位] 所属二级专题,[E_人群特征] 适用患者分层,[J_质量与分级] 当前争议,[J_质量与分级] 研究局限,[J_质量与分级] 是否建议重点阅读,[J_质量与分级] 建议关注优先级,[A_标识与溯源] 原文链接,[A_标识与溯源] 二次解读链接,[A_标识与溯源] 最后核查日期
KB-0001,未报告,未报告,艾滋病毒、病毒性肝炎和性传播感染2022-2030年全球卫生部门战略,"Global health sector strategies on, respectively, HIV, viral hepatitis and sexually transmitted infections for the period 2022-2030 (GHSS)",2022,2022-06,世界卫生组织（WHO）官方出版物,WHO（机构署名）,WHO,世界卫生组织，日内瓦，瑞士,国际组织（WHO，日内瓦）,否,否,否,国际政策文件/全球卫生部门战略,A,NA（政策战略文件）,不适用,不适用,全球 HBV/HCV/HIV/STI 感染者（公共卫生层面）,不适用,不适用,不适用,不适用,不适用,不适用,2022-2030（8年实施期）,未报告,未报告,未报告,未报告,2030年消除病毒性肝炎公共卫生威胁：新发感染降90%、死亡降65%、诊断率90%、治疗率80%（以2020年为基线）,未报告,未报告,未报告,未报告,目标框架：2030年CHB相关死亡从82万例降至31万例（降65%）,未报告,以2020年为基线，2030年CHB新发病例从150万例降至17万例、死亡从82万例降至31万例；诊断率90%、治疗率80%；2026年中期评估显示全球进度偏离轨道、病毒性肝炎死亡仍在上升,提供全球统一的消除病毒性肝炎量化指标体系与考核框架,我国2016年一般人群HBsAg流行率6.1%、慢性感染者约8600万，诊断率约22%、治疗率约15%，距90%/80%目标差距巨大，需扩大筛查与治疗,直接定义中国消除乙肝的目标框架与量化考核指标,为联盟建设提供顶层政策依据与量化考核参照,筛-诊-治-管-康:全链条,T1,1-1（全球战略与2030目标）,全人群（公共卫生层面）,WHO目标基于2020年基线，部分国家（含中国）数据滞后，实现难度大；2026年WHO中期报告指出全球进度偏离轨道,非临床研究，无患者级数据；各国执行差异大，指标可达性不一,是,P0,https://www.who.int/teams/global-hiv-hepatitis-and-stis-programmes/strategies/global-health-sector-strategies,庄辉院士解读（中国工程院院士馆整理）：https://ysg.ckcest.cn/ysgNews/1755156.html,2026-08-28
KB-0002,36891718,10.3760/cma.j.cn501113-20221204-00607,慢性乙型肝炎防治指南（2022年版）,Guidelines for the prevention and treatment of chronic hepatitis B (version 2022),2022,2022-12-20,"中华肝脏病杂志 2022,30(12):1309-1331",中华医学会肝病学分会（机构署名）,中华医学会肝病学分会、中华医学会感染病学分会,中华医学会肝病学分会、中华医学会感染病学分会,中国,是,是,是,临床实践指南,A,指南（GRADE分级：证据A/B/C，推荐强度1/2）,不适用,不适用,中国CHB患者及HBV感染者（含预防、筛查、诊断、治疗、管理全流程）,两者均有,两者均有,两者均有,NAs（恩替卡韦/替诺福韦/丙酚替诺福韦/艾米替诺福韦）+ 聚乙二醇干扰素α；扩大抗病毒治疗适应证,不适用,NAs长期、Peg-IFN 48周,未报告（指南）,未报告,未报告,未报告,未报告,推荐意见（A1/B1等）；扩大治疗适应证：HBV DNA阳性+ALT异常即启动治疗；肝硬化/肝癌家族史、>30岁、肝外表现等高危人群无论ALT高低均治疗,未报告,未报告,未报告,未报告,未报告（指南层面以降低肝硬化/肝癌风险为原则）,未报告,以更广泛筛查、更积极预防和抗病毒治疗为原则更新；大幅扩大治疗适应证；目标为实现WHO 2030消除目标（我国基线诊断率约22%、治疗率约15%）,中国CHB防治的权威基准文件，指导预防、诊断、治疗与随访全流程,提出我国诊断率22%、治疗率15%的基线差距；推荐一般人群HBsAg筛查（推荐意见8）,直接推动'扩大筛查-扩大治疗'策略在中国落地,联盟开展规范化诊疗培训、临床路径管理与质量考核的核心依据,筛-诊-治-管-康:全链条,T1,1-2（中国防治策略与指南）,全部分层（预防-筛查-初治-经治-肝硬化-肝癌全程）,扩大治疗适应证的范围与卫生经济学平衡；部分推荐基于间接证据,指南非原始研究；部分推荐意见证据等级为C级,是,P0,https://pubmed.ncbi.nlm.nih.gov/36891718/,未报告,2026-08-28
KB-0003,未报告,10.3760/cma.j.cn501113-20240723-00340,成人乙型肝炎病毒感染筛查、检测及管理专家建议,未报告,2024,2024-08,"中华肝脏病杂志 2024,32(8):718-725",专家建议（机构署名，第一作者待核查）,待核查,中华医学会肝病学分会等（全国专家，待核查）,中国,是,是,是,专家建议/共识,A,专家共识（基于文献综述与专家讨论）,不适用,不适用,成人（一般人群筛查策略）,不适用,不适用,不适用,不适用,不适用,不适用,不适用,未报告,未报告,未报告,未报告,推荐18岁以上成人一生至少筛查1次HBsAg；推广'乙肝三项'（HBsAg、抗-HBs、抗-HBc）普遍筛查；高危人群反复筛查,未报告,未报告,未报告,未报告,未报告,未报告,我国约7500万HBV感染者，诊断率约24%、治疗率约15%（部分资料为25%/15%）；普遍筛查是提高诊断率的第一抓手,为'筛'环节提供可落地的操作路径与检测策略,建议成人一生至少筛查1次，高危人群反复筛查；'乙肝三项'普遍筛查优于单一HBsAg,直接支撑诊断率90%目标（当前中国仅约24%）,联盟开展社区筛查、医防融合与基层培训的行动指南,筛,T2,2-1（成人筛查策略）,全人群（成人，含高危人群）,普遍筛查vs高危人群筛查的费用效益比；诊断率数据存在24%/25%两个版本,专家建议性质，部分推荐基于间接证据；非原始研究,是,P0,待核查,未报告,2026-08-28
KB-0004,34435408,10.1111/jvh.13599,PEG-IFN 治疗第24周平均HBsAg下降幅度预测后续HBsAg清除率（暂译）,Mean HBsAg decline at week 24 of PEG-IFN-based treatment predicts subsequent rate of HBsAg clearance,2021,2021-11,"Journal of Viral Hepatitis 2021,28(11):1563-1569",De Ridder F,未报告,未报告（欧洲多中心，待核查）,比利时（欧洲）,否,否,否,队列研究（疗效预测分析）,B,队列研究（HBsAg动力学预测分析）,不适用,未报告,接受PEG-IFN为基础治疗的CHB患者,混合（PEG-IFN为基础）,未报告,未报告,PEG-IFN为基础（联合或不联合NAs）,未报告,48周（PEG-IFN常规疗程）,未报告,未报告,未报告,24周平均HBsAg下降每多1 log10，后续HBsAg清除率预估增加20%-30%,未报告,HBsAg清除率（与24周下降幅度关联）,与24周HBsAg下降幅度正相关（每多降1 log10增加20%-30%）,未报告,未报告,未报告,未报告,未报告,第24周HBsAg动力学是后续HBsAg清除的强预测指标，支持治疗24周节点进行早期疗效判断与决策,为'24周无应答者调整方案'提供量化依据，提高治疗效率,与中国珠峰（12/24周下降阈值）和绿洲预测模型互补，构成早期疗效预测证据链,优化治疗资源配置，提高功能性治愈路径效率,联盟制定个体化治疗路径（早期疗效评估节点）的参考依据,治,T3,3-1（疗效早期预测）,PEG-IFN治疗人群（24周疗效评估节点）,未报告,样本量未报告；预测价值需前瞻性验证,是,P1,https://pubmed.ncbi.nlm.nih.gov/34435408/,未报告,2026-08-28
KB-0005,39702655,10.1007/s12072-024-10764-5,绿洲（OASIS）项目：PegIFNα-2b治疗48周HBsAg清除预测模型,OASIS project: prediction model for HBsAg clearance at week 48 with PegIFNα-2b（暂译）,2024,2024,Hepatology International 2024,未报告（绿洲项目组）,未报告,中国（绿洲项目组，多中心）,中国,是,是,是,队列研究（预测模型开发与验证）,B,前瞻性真实世界研究（预测模型）,不适用,未报告,接受PegIFNα-2b治疗的CHB患者,未报告（模型纳入肝硬化变量）,未报告,包含（模型纳入肝硬化变量）,PegIFNα-2b,未报告,48周,48周,未报告,未报告,未报告,未报告,48周HBsAg清除（预测模型）,未报告（模型输出预测概率）,未报告,未报告,未报告,未报告,未报告,Logit(P)=0.92+性别×0.66−HBsAg(log)×0.96−肝硬化×0.88；模型AUC 0.80（开发）/0.82（验证）,提供可直接用于临床的HBsAg清除概率计算工具，支持治疗前患者筛选,中国人群专用预测模型，支撑'优选人群-个体化治疗'策略,提高功能性治愈路径的精准性与效率,联盟可将其嵌入临床决策支持工具，统一优选标准,治,T3,3-1（疗效早期预测）,PegIFNα-2b治疗候选人群,未报告,外部验证范围有限；预测因子（性别/基线HBsAg/肝硬化）在基层可及性待评估,是,P1,https://pubmed.ncbi.nlm.nih.gov/39702655/,未报告,2026-08-28
KB-0006,41638418,待核查（ScienceDirect PII: S1542-3565(26)00057-1）,聚乙二醇干扰素α-2b提高核苷（酸）类似物抑制的低HBsAg慢性乙型肝炎患者的HBsAg清除率：中国珠峰（Everest）研究,Peginterferon α-2b Enhances HBsAg Loss in NA-Suppressed Low-HBsAg Chronic Hepatitis B Patients: Everest Study in China,2026,2026-01（在线发表）,Clinical Gastroenterology and Hepatology（IF 12.2）,Xie C（谢婵）、Lin BL（林炳亮）、Mo ZS（莫志硕）等（共同第一作者）,Gao ZL（高志良，中山大学附属第三医院）、Zhuang H（庄辉，北京大学医学部）,中山大学附属第三医院牵头，覆盖全国391家医院,中国,是,是,是,前瞻性多中心真实世界研究,B,前瞻性、多中心、真实世界研究（NCT04035837），倾向性评分加权（PSW）调整,确证性（真实世界，最大样本量）,"筛查23,412例；FAS 15,896例；PPS 12,260例",NAs经治>1年、HBeAg阴性、HBV DNA检测不到、HBsAg≤1500 IU/mL的CHB患者（18-60岁）,经治,阴性,未报告（入组未提及肝硬化分层）,PegIFNα-2b（换用或加用，48周）；实现清除者巩固治疗12-24周,NA单药（对照组数据）；换用组vs加用组,48周（巩固12-24周）,停药后≥24周（巩固组随访至72周）,平均377.9 IU/mL；37.8%患者≤100 IU/mL,检测不到（<100 IU/mL）,12周下降>63.3%（AUC 0.766）、24周下降>95.3%（AUC 0.839）预测48周清除,未报告,48周HBsAg清除率,PSW后PPS 33.8%（12/24/36/48周梯度：11.8%/24.6%/30.7%/33.8%）；FAS 26.4%；停药24周后PPS 35.6%、FAS 28.7%；基线HBsAg≤100 IU/mL者PPS 53.6%（换用55.8%/加用53.0%），NA对照仅3.7%；巩固治疗组72周维持率85.9%（未巩固81%）,48周20.7%（PPS）,未报告（基线已病毒学抑制）,未报告,未报告,不良事件相关停药率FAS 5.6%/PPS 4.4%；多为可管理的血液学异常；中位治疗45.9周，43.1%治疗超过48周,PegIFNα-2b使NAs经治、HBeAg阴性、低HBsAg（≤1500 IU/mL）患者48周HBsAg清除率达33.8%（PPS），停药24周持久（35.6%）；换用与加用疗效相当但加用病毒学复发风险更低；基线HBsAg与早期HBsAg动态为强预测因子；巩固治疗提高持久性,临床治愈路径最高等级真实世界证据；确立'低HBsAg优选人群'标准与疗效预测指标,明确经治患者追求功能性治愈的适应人群、治疗策略与监测节点（12/24周）,支撑'治疗率80%'目标下的高质量治疗（功能性治愈）,联盟开展慢乙肝临床治愈专病管理与真实世界研究的核心循证依据,治,T4,4B-1（NAs经治临床治愈）,NAs经治、HBeAg阴性、HBV DNA检测不到、HBsAg≤1500 IU/mL,真实世界非随机，PSW无法完全消除选择偏倚；换用vs加用长期结局差异待观察,观察性真实世界设计；仅纳入低HBsAg经治人群，外推受限；肝硬化人群未报告,是,P0,https://www.sciencedirect.com/science/article/pii/S1542356526000571,雨露肝霖期刊导读：https://www.medsci.cn/article/show_article.do?id=1caa925939d8,2026-08-28
KB-0007,未报告,未报告,容愈（E-cure）项目：非活动性HBsAg携带者（IHCs）PegIFNα序贯/联合治疗48周HBsAg清除率,Abstract OP0395（APASL 2025 Oral Presentation）（暂译）,2025,2025,APASL 2025年会会议摘要（口头报告OP0395）,Mo ZS（莫志硕）,未报告,中山大学附属第三医院等（容愈项目组）,中国,是,是,是,会议摘要（口头报告，全文待发表）,D,多中心真实世界研究（中期分析）,确证性（中期）,"5,328例IHCs",非活动性HBsAg携带者（IHCs：HBsAg阳性、HBV DNA检测不到、ALT正常）,未治疗/经治混合（IHCs人群）,阴性（IHCs定义）,否（IHCs定义）,PegIFNα序贯/全程/单药/初始联合,未报告,48周,48周,分层：<100 / 100-1000 / >1000 IU/mL,检测不到（IHCs定义）,未报告,未报告,48周累积HBsAg清除率,总53%（序贯65.8%/全程58%/单药53.3%/初始联合34%）；基线HBsAg<100/100-1000/>1000 IU/mL组分别为72.56%/42.62%/8.89%,34.1%,未报告,未报告,未报告,未报告,IHCs经PegIFNα序贯/联合治疗48周累积HBsAg清除率达53%，基线HBsAg越低清除率越高（<100 IU/mL组72.56%）,开辟IHCs人群功能性治愈路径（该人群传统上不主张抗病毒治疗）,IHCs人群基数大，管理策略或从'观察随访'转向'积极追求临床治愈',扩大功能性治愈覆盖面，提升治疗率质量,联盟制定IHCs管理路径与功能性治愈专病项目的重要参考,治/管,T4,4D-1（HBeAg阴性慢感染/IHCs管理）,非活动性HBsAg携带者（HBV DNA检测不到、ALT正常）,IHCs治疗适应证的卫生经济学与安全性平衡；'观察'vs'干预'策略之争,会议摘要，方法学细节有限；正式全文待发表，证据等级待升级,是,P1,未报告（APASL 2025会议摘要集）,未报告,2026-08-28
KB-0008,未报告,10.1016/j.jhep.2024.08.010,B-Together研究：bepirovirsen后序贯Peg-IFN可能减少慢性乙型肝炎停药后复发,Sequential Peg-IFN after bepirovirsen may reduce post-treatment relapse in chronic hepatitis B,2025,2025-02,"Journal of Hepatology 2025,82(2):222-234",Buti M,未报告,GSK与多国中心（11国52个中心）,国际多中心（西班牙牵头）,否,部分（国际多中心，中国中心占比未报告）,否,IIb期随机开放标签临床试验,B,多中心、随机、开放标签IIb期试验（NCT04676724）,IIb期（新药）,108例（Arm1 55、Arm2 53）,稳定NA治疗（≥6个月无调整）的CHB患者，排除替比夫定,经治（NA稳定）,74%阴性（80/108）,未报告,bepirovirsen 300mg每周（Arm1 24周/Arm2 12周，第4、11天负荷剂量）+序贯Peg-IFNα-2a 180μg每周（≤24周），背景NA持续,两臂比较（24周vs 12周bepi），无安慰剂对照,bepi 12/24周 + Peg-IFN≤24周,至72周,>1000 IU/mL者占69%,未报告,未报告,未报告,序贯治疗结束后24周内各次访视HBsAg（<0.05 IU/mL）与HBV DNA（<20 IU/mL）均低于LLOQ的患者比例,主要终点Arm1 9%（5/55）、Arm2 15%（8/53）；bepi治疗结束时36%/23%达HBsAg+DNA<LLOQ，其中40%/42%在Peg-IFN前复发,未报告（HBeAg阳性者抗-HBe阳转率bepi结束时57%/7%）,未报告,未报告,未报告,不良事件常见（Arm1 95%/Arm2 98%），多为注射部位红斑；停药率4%；无严重肝损伤；9例SAE（8例患者）,bepirovirsen序贯Peg-IFN使9%-15%的NA经治患者实现停药后24周HBsAg与HBV DNA持续低于检测下限；序贯策略可能降低复发；后续机制研究提示ALT升高反映治疗性免疫应答（感染肝细胞清除）,首个ASO类新药向功能性治愈方向推进的IIb期关键证据，支持序贯治疗策略,新药可及性尚早；'ALT升高=治疗应答'机制对干扰素联合策略设计有参考价值,新药管线是突破功能性治愈率上限的关键变量,联盟应跟踪新药进展，布局联合治疗临床研究,治,T4,4E-1（新药管线：ASO/siRNA等）,NA经治、基线HBsAg较低者更可能应答,功能性治愈定义与持久性；ALT升高解读（治疗性应答vs药物性肝损伤）；9%-15%疗效与成本,II期样本量小、开放标签、无安慰剂对照；长期持久性待B-Sure研究（NCT04954859）确认,是,P1,https://doi.org/10.1016/j.jhep.2024.08.010,生物通中文报道：https://www.ebiotrade.com/newsf/2025-10/20251004215115900.htm,2026-08-28
KB-0009,38817899,10.3389/fonc.2024.1398968,HBV相关肝硬化患者的肝细胞癌风险：基于4年回顾性队列的竞争风险列线图,The hepatocellular carcinoma risk in patients with HBV-related cirrhosis: a competing risk nomogram based on a 4-year retrospective cohort study,2024,2024-05-16,"Frontiers in Oncology 2024,14:1398968",Guo DD（郭丹丹）,Li K（李康）、Zhang YH（张永宏）,首都医科大学附属北京佑安医院（肿瘤介入治疗中心/生物医学信息中心）,中国,是,是,否,回顾性队列研究（预测模型开发与验证）,C,回顾性队列 + 竞争风险模型（Fine-Gray），MICE多重插补（20次）,模型开发与验证,"1,401例（训练1,017、验证384）",HBV相关肝硬化患者（2011.1-2014.12入组）,未报告（模型纳入'抗病毒治疗史'变量）,两者（模型纳入HBeAg变量）,全部是,未报告（模型评估抗病毒治疗史的HCC风险效应）,不适用,不适用,中位69.9个月（IQR 43.8-86.6）,未报告,未报告,未报告,未报告,HCC累积发生率（竞争事件：死亡、肝移植）,未报告,未报告,未报告,未报告,31.5%（442/1401）发生HCC；5年累积发生率22.9%（95%CI 20.8%-25.2%）；有抗病毒治疗史者HCC风险降低；模型AUC（12/24/36/60/96个月）0.68/0.69/0.70/0.68/0.80,不适用,6因素（年龄、性别、抗病毒治疗史、HBeAg、饮酒史、AFP）竞争风险列线图可个体化预测HBV肝硬化患者HCC风险，优于传统风险分层,HCC风险分层与监测频率个体化工具（低危/高危筛选）,肝硬化人群需强化HCC监测；抗病毒治疗是降低HCC风险的关键可干预因素,支撑'死亡率降65%'目标（HCC早筛早诊早治）,联盟HCC全程管理（监测频率分层）工具参考,诊/管,T5,5-1（HCC风险预测与监测）,HBV相关肝硬化患者,未报告,单中心回顾性设计；AUC中等等（0.68-0.80），96个月最高0.80；需外部多中心验证,是,P1,https://pubmed.ncbi.nlm.nih.gov/38817899/,未报告,2026-08-28
KB-0010,未报告,10.1097/HEP.0000000000000575,肝硬化乙型肝炎患者有限疗程治疗后肝细胞癌减少、HBsAg清除增加,"Hepatocellular carcinoma reduced, HBsAg loss increased after finite therapy in hepatitis B patients with cirrhosis",2024,2024,"Hepatology 2024,79(3):690-703",Jeng WJ（郑文雄）,未报告,长庚纪念医院（中国台湾）,中国台湾,是（中国台湾）,是（中国台湾患者）,否,观察性队列研究,B,观察性队列（有限疗程停药vs继续NA，长期随访）,不适用,未报告,肝硬化CHB患者（有限疗程停药组vs继续NA组）,经治（NA）,未报告,全部是,有限疗程（NA停药）vs 继续NA长期治疗,继续NA治疗,有限疗程（停药）vs 长期NA,10年（长期随访）,未报告,未报告,未报告,未报告,HCC发生率、HBsAg清除率,有限疗程组HBsAg清除率高于继续NA组,未报告,未报告,未报告,10年HCC发生率：有限疗程组15.7% vs 继续NA组26.8%,未报告,肝硬化患者有限疗程（停药）虽病毒学复发风险高，但10年HCC发生率低于继续NA组（15.7% vs 26.8%），且HBsAg清除更多；HBsAg清除与HCC风险降低相关,挑战'肝硬化必须终身治疗'的传统观念；提示停药后HBsAg清除的远期获益,肝硬化人群停药决策需个体化权衡（复发风险vs清除获益）；追求HBsAg清除的远期价值,减少肝硬化人群HCC负担，助力死亡率降低目标,联盟肝硬化全程管理策略（停药vs维持治疗）的循证参考,管,T5,5-2（肝硬化管理策略与HCC预防）,肝硬化CHB患者（考虑有限疗程者）,停药策略安全性争议大（病毒学复发、肝衰竭风险）；观察性研究存在选择偏倚,观察性非随机设计；选择偏倚；样本量与基线详情未报告,是,P1,https://doi.org/10.1097/HEP.0000000000000575,未报告,2026-08-28
